id,n_pedestrians,n_pedestrians_towards,n_pedestrians_away,Usage
schoenbornstrasse_2025-02-06_3,15,3,12,Public
schoenbornstrasse_2025-02-06_4,13,9,4,Public
schoenbornstrasse_2025-02-06_5,23,7,16,Public
schoenbornstrasse_2025-02-06_6,84,40,44,Public
schoenbornstrasse_2025-02-06_7,317,186,131,Public
schoenbornstrasse_2025-02-06_8,410,188,222,Public
schoenbornstrasse_2025-02-06_9,853,410,443,Public
schoenbornstrasse_2025-02-06_10,1306,654,652,Public
schoenbornstrasse_2025-02-06_11,1733,919,814,Public
schoenbornstrasse_2025-02-06_12,2135,1028,1107,Public
schoenbornstrasse_2025-02-06_13,2535,1226,1309,Public
schoenbornstrasse_2025-02-06_14,2252,1083,1169,Public
schoenbornstrasse_2025-02-06_15,2388,1134,1254,Public
schoenbornstrasse_2025-02-06_16,2460,1191,1269,Public
schoenbornstrasse_2025-02-06_17,2310,1113,1197,Public
schoenbornstrasse_2025-02-06_18,1537,788,749,Public
schoenbornstrasse_2025-02-06_19,853,423,430,Public
schoenbornstrasse_2025-02-06_20,341,179,162,Public
schoenbornstrasse_2025-02-06_21,253,124,129,Public
schoenbornstrasse_2025-02-06_22,133,73,60,Public
schoenbornstrasse_2025-02-06_23,94,36,58,Public
schoenbornstrasse_2025-02-07_0,33,14,19,Public
schoenbornstrasse_2025-02-07_1,26,7,19,Public
schoenbornstrasse_2025-02-07_2,6,0,6,Public
schoenbornstrasse_2025-02-07_3,8,1,7,Public
schoenbornstrasse_2025-02-07_4,9,3,6,Public
schoenbornstrasse_2025-02-07_5,30,16,14,Public
schoenbornstrasse_2025-02-07_6,55,26,29,Public
schoenbornstrasse_2025-02-07_7,298,180,118,Public
schoenbornstrasse_2025-02-07_8,469,234,235,Public
schoenbornstrasse_2025-02-07_9,1008,500,508,Public
schoenbornstrasse_2025-02-07_10,1601,826,775,Public
schoenbornstrasse_2025-02-07_11,2112,1040,1072,Public
schoenbornstrasse_2025-02-07_12,2406,1228,1178,Public
schoenbornstrasse_2025-02-07_13,2973,1409,1564,Public
schoenbornstrasse_2025-02-07_14,2865,1467,1398,Public
schoenbornstrasse_2025-02-07_15,2907,1420,1487,Public
schoenbornstrasse_2025-02-07_16,3397,1588,1809,Public
schoenbornstrasse_2025-02-07_17,3004,1402,1602,Public
schoenbornstrasse_2025-02-07_18,2258,1150,1108,Public
schoenbornstrasse_2025-02-07_19,1592,789,803,Public
schoenbornstrasse_2025-02-07_20,655,314,341,Public
schoenbornstrasse_2025-02-07_21,352,206,146,Public
schoenbornstrasse_2025-02-07_22,351,200,151,Public
schoenbornstrasse_2025-02-07_23,217,140,77,Public
schoenbornstrasse_2025-02-08_0,99,41,58,Public
schoenbornstrasse_2025-02-08_1,64,20,44,Public
schoenbornstrasse_2025-02-08_2,76,22,54,Public
schoenbornstrasse_2025-02-08_3,34,11,23,Public
schoenbornstrasse_2025-02-08_4,59,6,53,Public
schoenbornstrasse_2025-02-08_5,31,13,18,Public
schoenbornstrasse_2025-02-08_6,24,12,12,Public
schoenbornstrasse_2025-02-08_7,47,28,19,Public
schoenbornstrasse_2025-02-08_8,198,94,104,Public
schoenbornstrasse_2025-02-08_9,678,303,375,Public
schoenbornstrasse_2025-02-08_10,1714,882,832,Public
schoenbornstrasse_2025-02-08_11,3201,1633,1568,Public
schoenbornstrasse_2025-02-08_12,4138,2150,1988,Public
schoenbornstrasse_2025-02-08_13,4947,2544,2403,Public
schoenbornstrasse_2025-02-08_14,5693,2991,2702,Public
schoenbornstrasse_2025-02-08_15,6934,3062,3872,Public
schoenbornstrasse_2025-02-08_16,5943,2786,3157,Public
schoenbornstrasse_2025-02-08_17,4642,2159,2483,Public
schoenbornstrasse_2025-02-08_18,3137,1565,1572,Public
schoenbornstrasse_2025-02-08_19,1897,959,938,Public
schoenbornstrasse_2025-02-08_20,679,339,340,Public
schoenbornstrasse_2025-02-08_21,453,244,209,Public
schoenbornstrasse_2025-02-08_22,299,155,144,Public
schoenbornstrasse_2025-02-08_23,163,89,74,Public
schoenbornstrasse_2025-02-09_0,179,96,83,Public
schoenbornstrasse_2025-02-09_1,133,62,71,Public
schoenbornstrasse_2025-02-09_2,76,37,39,Public
schoenbornstrasse_2025-02-09_3,71,46,25,Public
schoenbornstrasse_2025-02-09_4,23,9,14,Public
schoenbornstrasse_2025-02-09_5,26,7,19,Public
schoenbornstrasse_2025-02-09_6,23,9,14,Public
schoenbornstrasse_2025-02-09_7,26,14,12,Public
schoenbornstrasse_2025-02-09_8,52,19,33,Public
schoenbornstrasse_2025-02-09_9,200,110,90,Public
schoenbornstrasse_2025-02-09_10,238,108,130,Public
schoenbornstrasse_2025-02-09_11,499,277,222,Public
schoenbornstrasse_2025-02-09_12,571,274,297,Public
schoenbornstrasse_2025-02-09_13,619,325,294,Public
schoenbornstrasse_2025-02-09_14,718,381,337,Public
schoenbornstrasse_2025-02-09_15,884,414,470,Public
schoenbornstrasse_2025-02-09_16,837,366,471,Public
schoenbornstrasse_2025-02-09_17,645,289,356,Public
schoenbornstrasse_2025-02-09_18,556,245,311,Public
schoenbornstrasse_2025-02-09_19,317,127,190,Public
schoenbornstrasse_2025-02-09_20,223,112,111,Public
schoenbornstrasse_2025-02-09_21,132,67,65,Public
schoenbornstrasse_2025-02-09_22,97,58,39,Public
schoenbornstrasse_2025-02-09_23,54,26,28,Public
spiegelstrasse_2025-02-03_0,17,13,4,Public
spiegelstrasse_2025-02-03_1,13,8,5,Public
spiegelstrasse_2025-02-03_2,3,2,1,Public
spiegelstrasse_2025-02-03_3,14,10,4,Public
spiegelstrasse_2025-02-03_4,13,8,5,Public
spiegelstrasse_2025-02-03_5,68,47,21,Public
spiegelstrasse_2025-02-03_6,197,138,59,Public
spiegelstrasse_2025-02-03_7,459,269,190,Public
spiegelstrasse_2025-02-03_8,512,346,166,Public
spiegelstrasse_2025-02-03_9,754,466,288,Public
spiegelstrasse_2025-02-03_10,937,554,383,Public
spiegelstrasse_2025-02-03_11,1059,638,421,Public
spiegelstrasse_2025-02-03_12,1381,769,612,Public
spiegelstrasse_2025-02-03_13,1477,790,687,Public
spiegelstrasse_2025-02-03_14,1120,616,504,Public
spiegelstrasse_2025-02-03_15,1166,659,507,Public
spiegelstrasse_2025-02-03_16,1264,775,489,Public
spiegelstrasse_2025-02-03_17,1095,553,542,Public
spiegelstrasse_2025-02-03_18,707,371,336,Public
spiegelstrasse_2025-02-03_19,513,258,255,Public
spiegelstrasse_2025-02-03_20,244,142,102,Public
spiegelstrasse_2025-02-03_21,163,81,82,Public
spiegelstrasse_2025-02-03_22,135,73,62,Public
spiegelstrasse_2025-02-03_23,60,35,25,Public
spiegelstrasse_2025-02-04_0,29,20,9,Public
spiegelstrasse_2025-02-04_1,15,11,4,Public
spiegelstrasse_2025-02-04_2,4,0,4,Public
spiegelstrasse_2025-02-04_3,15,11,4,Public
spiegelstrasse_2025-02-04_4,7,5,2,Public
spiegelstrasse_2025-02-04_5,69,49,20,Public
spiegelstrasse_2025-02-04_6,174,123,51,Public
spiegelstrasse_2025-02-04_7,448,258,190,Public
spiegelstrasse_2025-02-04_8,527,328,199,Public
spiegelstrasse_2025-02-04_9,684,434,250,Public
spiegelstrasse_2025-02-04_10,847,499,348,Public
spiegelstrasse_2025-02-04_11,964,574,390,Public
spiegelstrasse_2025-02-04_12,1351,777,574,Public
spiegelstrasse_2025-02-04_13,1445,762,683,Public
spiegelstrasse_2025-02-04_14,1213,686,527,Public
spiegelstrasse_2025-02-04_15,1247,668,579,Public
spiegelstrasse_2025-02-04_16,1298,716,582,Public
spiegelstrasse_2025-02-04_17,1059,551,508,Public
spiegelstrasse_2025-02-04_18,867,470,397,Public
spiegelstrasse_2025-02-04_19,495,261,234,Public
spiegelstrasse_2025-02-04_20,326,169,157,Public
spiegelstrasse_2025-02-04_21,171,99,72,Public
spiegelstrasse_2025-02-04_22,93,49,44,Public
spiegelstrasse_2025-02-04_23,62,40,22,Public
spiegelstrasse_2025-02-05_0,31,19,12,Public
spiegelstrasse_2025-02-05_1,9,6,3,Public
spiegelstrasse_2025-02-05_2,7,5,2,Public
spiegelstrasse_2025-02-05_3,4,4,0,Public
spiegelstrasse_2025-02-05_4,6,5,1,Public
spiegelstrasse_2025-02-05_5,64,43,21,Public
spiegelstrasse_2025-02-05_6,183,120,63,Public
spiegelstrasse_2025-02-05_7,438,243,195,Public
spiegelstrasse_2025-02-05_8,533,321,212,Public
spiegelstrasse_2025-02-05_9,700,408,292,Public
spiegelstrasse_2025-02-05_10,896,533,363,Public
spiegelstrasse_2025-02-05_11,946,555,391,Public
spiegelstrasse_2025-02-05_12,1324,770,554,Public
spiegelstrasse_2025-02-05_13,1267,686,581,Public
spiegelstrasse_2025-02-05_14,1104,604,500,Public
spiegelstrasse_2025-02-05_15,1003,562,441,Public
spiegelstrasse_2025-02-05_16,1141,669,472,Public
spiegelstrasse_2025-02-05_17,1115,646,469,Public
spiegelstrasse_2025-02-05_18,754,408,346,Public
spiegelstrasse_2025-02-05_19,555,304,251,Public
spiegelstrasse_2025-02-05_20,307,173,134,Public
spiegelstrasse_2025-02-05_21,182,89,93,Public
spiegelstrasse_2025-02-05_22,152,73,79,Public
spiegelstrasse_2025-02-05_23,58,33,25,Public
spiegelstrasse_2025-02-06_0,38,25,13,Public
spiegelstrasse_2025-02-06_1,16,5,11,Public
spiegelstrasse_2025-02-06_2,5,0,5,Public
spiegelstrasse_2025-02-06_3,13,7,6,Public
spiegelstrasse_2025-02-06_4,9,4,5,Public
spiegelstrasse_2025-02-06_5,87,58,29,Public
spiegelstrasse_2025-02-06_6,185,123,62,Public
spiegelstrasse_2025-02-06_7,391,222,169,Public
spiegelstrasse_2025-02-06_8,594,365,229,Public
spiegelstrasse_2025-02-06_9,812,502,310,Public
spiegelstrasse_2025-02-06_10,911,563,348,Public
spiegelstrasse_2025-02-06_11,1152,676,476,Public
spiegelstrasse_2025-02-06_12,1312,761,551,Public
spiegelstrasse_2025-02-06_13,1531,808,723,Public
spiegelstrasse_2025-02-06_14,1181,688,493,Public
spiegelstrasse_2025-02-06_15,1187,704,483,Public
spiegelstrasse_2025-02-06_16,1309,734,575,Public
spiegelstrasse_2025-02-06_17,1265,696,569,Public
spiegelstrasse_2025-02-06_18,837,446,391,Public
spiegelstrasse_2025-02-06_19,540,305,235,Public
spiegelstrasse_2025-02-06_20,369,219,150,Public
spiegelstrasse_2025-02-06_21,239,119,120,Public
spiegelstrasse_2025-02-06_22,148,62,86,Public
spiegelstrasse_2025-02-06_23,63,45,18,Public
spiegelstrasse_2025-02-07_0,38,23,15,Public
spiegelstrasse_2025-02-07_1,9,3,6,Public
spiegelstrasse_2025-02-07_2,6,3,3,Public
spiegelstrasse_2025-02-07_3,10,3,7,Public
spiegelstrasse_2025-02-07_4,7,5,2,Public
spiegelstrasse_2025-02-07_5,68,48,20,Public
spiegelstrasse_2025-02-07_6,187,131,56,Public
spiegelstrasse_2025-02-07_7,415,242,173,Public
spiegelstrasse_2025-02-07_8,516,338,178,Public
spiegelstrasse_2025-02-07_9,653,412,241,Public
spiegelstrasse_2025-02-07_10,1079,609,470,Public
spiegelstrasse_2025-02-07_11,1151,644,507,Public
spiegelstrasse_2025-02-07_12,1423,779,644,Public
spiegelstrasse_2025-02-07_13,1511,827,684,Public
spiegelstrasse_2025-02-07_14,1359,830,529,Public
spiegelstrasse_2025-02-07_15,1268,742,526,Public
spiegelstrasse_2025-02-07_16,1401,717,684,Public
spiegelstrasse_2025-02-07_17,1279,620,659,Public
spiegelstrasse_2025-02-07_18,965,501,464,Public
spiegelstrasse_2025-02-07_19,688,371,317,Public
spiegelstrasse_2025-02-07_20,519,288,231,Public
spiegelstrasse_2025-02-07_21,334,197,137,Public
spiegelstrasse_2025-02-07_22,256,157,99,Public
spiegelstrasse_2025-02-07_23,120,67,53,Public
spiegelstrasse_2025-02-08_0,59,38,21,Public
spiegelstrasse_2025-02-08_1,39,15,24,Public
spiegelstrasse_2025-02-08_2,30,3,27,Public
spiegelstrasse_2025-02-08_3,18,8,10,Public
spiegelstrasse_2025-02-08_4,20,9,11,Public
spiegelstrasse_2025-02-08_5,36,20,16,Public
spiegelstrasse_2025-02-08_6,56,30,26,Public
spiegelstrasse_2025-02-08_7,88,55,33,Public
spiegelstrasse_2025-02-08_8,198,126,72,Public
spiegelstrasse_2025-02-08_9,503,342,161,Public
spiegelstrasse_2025-02-08_10,886,575,311,Public
spiegelstrasse_2025-02-08_11,1352,790,562,Public
spiegelstrasse_2025-02-08_12,1701,1018,683,Public
spiegelstrasse_2025-02-08_13,2014,1186,828,Public
spiegelstrasse_2025-02-08_14,2113,1225,888,Public
spiegelstrasse_2025-02-08_15,2143,1057,1086,Public
spiegelstrasse_2025-02-08_16,1822,862,960,Public
spiegelstrasse_2025-02-08_17,1446,667,779,Public
spiegelstrasse_2025-02-08_18,1125,488,637,Public
spiegelstrasse_2025-02-08_19,809,352,457,Public
spiegelstrasse_2025-02-08_20,465,265,200,Public
spiegelstrasse_2025-02-08_21,257,146,111,Public
spiegelstrasse_2025-02-08_22,237,138,99,Public
spiegelstrasse_2025-02-08_23,94,61,33,Public
spiegelstrasse_2025-02-09_0,76,45,31,Public
spiegelstrasse_2025-02-09_1,41,18,23,Public
spiegelstrasse_2025-02-09_2,16,6,10,Public
spiegelstrasse_2025-02-09_3,21,3,18,Public
spiegelstrasse_2025-02-09_4,15,5,10,Public
spiegelstrasse_2025-02-09_5,21,10,11,Public
spiegelstrasse_2025-02-09_6,26,12,14,Public
spiegelstrasse_2025-02-09_7,32,18,14,Public
spiegelstrasse_2025-02-09_8,65,40,25,Public
spiegelstrasse_2025-02-09_9,166,107,59,Public
spiegelstrasse_2025-02-09_10,288,176,112,Public
spiegelstrasse_2025-02-09_11,415,231,184,Public
spiegelstrasse_2025-02-09_12,478,255,223,Public
spiegelstrasse_2025-02-09_13,573,291,282,Public
spiegelstrasse_2025-02-09_14,667,350,317,Public
spiegelstrasse_2025-02-09_15,712,372,340,Public
spiegelstrasse_2025-02-09_16,631,315,316,Public
spiegelstrasse_2025-02-09_17,556,305,251,Public
